user_id,product_id,product_name,category,visit_time,collect_time,pay_time,price,pay_amount
U2350,P242,美妆_商品242,美妆,2025-07-26T22:59:27.322+08:00,,,1522.67,
U6139,P347,美妆_商品347,美妆,2025-07-25T19:12:06.322+08:00,,2025-07-25T20:07:06.322+08:00,975.77,942.54
U5159,P303,男装_商品303,男装,2025-07-29T00:15:33.322+08:00,,,210.45,
U9507,P205,数码_商品205,数码,2025-07-30T10:11:55.322+08:00,,2025-07-30T10:42:55.322+08:00,802.65,828.88
U7055,P264,数码_商品264,数码,2025-07-26T18:16:47.322+08:00,,,1331.72,
U6775,P207,女装_商品207,女装,2025-07-29T07:53:00.322+08:00,,,71.91,
U6122,P119,男装_商品119,男装,2025-07-27T07:14:43.322+08:00,,,1447.09,
U2551,P219,数码_商品219,数码,2025-07-26T15:17:11.322+08:00,,2025-07-26T15:49:11.322+08:00,656.72,655.21
U3316,P265,美妆_商品265,美妆,,,,316.34,
U9832,P327,女装_商品327,女装,2025-07-31T14:54:53.322+08:00,,2025-07-31T15:34:53.322+08:00,1972.36,1977.25
U5550,P321,美妆_商品321,美妆,,,,1867.94,
U9238,P251,美妆_商品251,美妆,2025-07-30T05:50:00.322+08:00,,,1303.09,
U4462,P141,数码_商品141,数码,,,,458.25,
U4444,P278,男装_商品278,男装,2025-08-01T06:55:40.322+08:00,,,1281.7,
U9838,P226,女装_商品226,女装,2025-07-28T09:25:05.322+08:00,2025-07-28T09:35:05.322+08:00,,83.8,
U2118,P318,数码_商品318,数码,2025-07-31T03:38:54.322+08:00,,,819.33,
U8710,P108,男装_商品108,男装,,,,319.52,
U1373,P241,女装_商品241,女装,2025-07-26T16:29:59.322+08:00,,,774.09,
U8434,P283,女装_商品283,女装,2025-07-31T11:23:09.322+08:00,2025-07-31T11:43:09.322+08:00,,229.21,
U9277,P336,女装_商品336,女装,2025-07-30T17:09:14.322+08:00,,,454.47,
U4497,P272,美妆_商品272,美妆,2025-08-01T10:42:49.322+08:00,,,119.88,
U6516,P115,数码_商品115,数码,2025-07-29T10:31:49.322+08:00,,,1528.39,
U8167,P118,男装_商品118,男装,2025-07-30T06:38:04.322+08:00,,,958.11,
U9647,P228,美妆_商品228,美妆,2025-07-31T05:40:19.322+08:00,2025-07-31T06:09:19.322+08:00,,1117.22,
U8596,P318,数码_商品318,数码,2025-07-30T01:48:37.322+08:00,2025-07-30T02:02:37.322+08:00,,1748.79,
U5225,P204,女装_商品204,女装,2025-07-30T23:37:58.322+08:00,,,1130.2,
U6174,P219,数码_商品219,数码,2025-07-29T23:49:55.322+08:00,2025-07-29T23:51:55.322+08:00,2025-07-30T00:36:55.322+08:00,1765.14,1758.43
U6294,P218,数码_商品218,数码,2025-07-27T07:27:13.322+08:00,,2025-07-27T08:09:13.322+08:00,1948.67,1938.94
U6027,P322,美妆_商品322,美妆,2025-07-28T01:50:34.322+08:00,,,1662.8,
U3503,P108,男装_商品108,男装,,,,709.51,
U1722,P208,美妆_商品208,美妆,,,,1235.69,
U4193,P283,数码_商品283,数码,2025-07-25T21:37:39.322+08:00,2025-07-25T21:49:39.322+08:00,2025-07-25T21:46:39.322+08:00,1330.42,1285.91
U1017,P122,女装_商品122,女装,,,,1763.79,
U8849,P320,数码_商品320,数码,2025-07-27T04:53:55.322+08:00,,,1630.09,
U6500,P249,数码_商品249,数码,,,,409.5,
U2131,P316,女装_商品316,女装,2025-07-27T10:03:08.322+08:00,,2025-07-27T10:22:08.322+08:00,828.99,814.82
U9397,P268,数码_商品268,数码,2025-07-26T00:16:51.322+08:00,,,465.07,
