user_id,product_id,product_name,category,visit_time,collect_time,pay_time,price,pay_amount
U4236,P217,美妆_商品217,美妆,2025-07-31T07:15:32.322+08:00,,,152.31,
U7382,P138,女装_商品138,女装,2025-07-26T13:41:03.322+08:00,,2025-07-26T14:35:03.322+08:00,473.92,489.03
U5275,P145,数码_商品145,数码,2025-07-25T22:01:36.322+08:00,2025-07-25T22:22:36.322+08:00,,1550.17,
U8508,P139,数码_商品139,数码,2025-07-31T02:03:54.322+08:00,,,1096.13,
U7598,P122,数码_商品122,数码,2025-07-26T21:49:35.322+08:00,,,429.07,
U3469,P233,女装_商品233,女装,2025-08-01T09:52:06.322+08:00,2025-08-01T10:07:06.322+08:00,,66.83,
U5883,P211,美妆_商品211,美妆,2025-07-30T18:58:46.322+08:00,,,291.21,
U2208,P228,男装_商品228,男装,2025-07-29T03:46:49.322+08:00,,2025-07-29T04:13:49.322+08:00,1181.59,1166.42
U9733,P326,美妆_商品326,美妆,,,,495.09,
U8940,P267,男装_商品267,男装,2025-07-29T08:17:57.322+08:00,,,208.23,
U7845,P102,美妆_商品102,美妆,2025-07-29T18:40:55.322+08:00,,,1036.62,
U8924,P335,女装_商品335,女装,2025-07-26T15:40:18.322+08:00,,2025-07-26T16:23:18.322+08:00,1815.41,1755.51
U3614,P117,男装_商品117,男装,2025-07-29T09:52:59.322+08:00,,,570.49,
U9101,P333,美妆_商品333,美妆,2025-07-28T13:20:45.322+08:00,2025-07-28T13:33:45.322+08:00,,78.19,
U8347,P330,美妆_商品330,美妆,2025-07-27T08:03:18.322+08:00,,,640.35,
U3692,P247,数码_商品247,数码,2025-07-26T22:54:49.322+08:00,2025-07-26T23:05:49.322+08:00,,605.38,
U8135,P340,美妆_商品340,美妆,,,,996.84,
U5835,P349,美妆_商品349,美妆,,,,1482.93,
U8528,P345,男装_商品345,男装,2025-07-26T02:52:22.322+08:00,,,1997.36,
U2356,P254,男装_商品254,男装,,,,1670.03,
U9197,P224,男装_商品224,男装,2025-07-30T11:30:47.322+08:00,,,806.58,
U9958,P145,数码_商品145,数码,,,,1962.75,
U3173,P265,男装_商品265,男装,,,,386.25,
U4672,P293,美妆_商品293,美妆,2025-07-30T13:00:17.322+08:00,,,79.87,
U5333,P212,数码_商品212,数码,,,,1803.29,
U6698,P246,男装_商品246,男装,2025-07-31T16:01:42.322+08:00,2025-07-31T16:29:42.322+08:00,,347.65,
U2063,P347,美妆_商品347,美妆,,,,1363.5,
U3609,P289,美妆_商品289,美妆,,,,237.73,
U9025,P246,数码_商品246,数码,2025-07-25T19:15:33.322+08:00,,,259.52,
U5648,P284,数码_商品284,数码,,,,1061.46,
U7877,P119,女装_商品119,女装,2025-07-29T01:56:58.322+08:00,,2025-07-29T02:29:58.322+08:00,1788.23,1765.36
U7035,P141,男装_商品141,男装,2025-07-27T14:08:56.322+08:00,,2025-07-27T14:29:56.322+08:00,819.23,820.58
U1477,P144,男装_商品144,男装,2025-07-29T23:02:43.322+08:00,,,813.12,
U1769,P221,数码_商品221,数码,,,,1700.49,
U2327,P269,数码_商品269,数码,2025-07-30T15:40:38.322+08:00,,,724.43,
U2315,P118,女装_商品118,女装,2025-07-26T14:16:45.322+08:00,,,1033.69,
U6037,P290,数码_商品290,数码,2025-07-30T17:54:05.322+08:00,,2025-07-30T18:00:05.322+08:00,1505.44,1450.89
U2688,P115,女装_商品115,女装,2025-07-30T06:19:07.322+08:00,2025-07-30T06:46:07.322+08:00,2025-07-30T07:02:07.322+08:00,1777.35,1722.41
U7697,P250,数码_商品250,数码,,,,1099.39,
