sku_id	product_id	shop_id	sku_name	color	price	category_id	category_name	create_time	dt
sku_10001	prod_1000	shop_001	服饰_商品_10001	黑	148.49	cate_1	服饰	2024-12-19 00:00:00	2025-01-01
sku_10002	prod_1000	shop_001	服饰_商品_10002	白	483.15	cate_1	服饰	2024-12-14 00:00:00	2025-01-01
sku_10003	prod_1000	shop_001	服饰_商品_10003	蓝	80.64	cate_1	服饰	2024-12-12 00:00:00	2025-01-01
sku_10004	prod_1000	shop_001	服饰_商品_10004	白	155.15	cate_1	服饰	2024-12-06 00:00:00	2025-01-01
sku_10005	prod_1000	shop_001	服饰_商品_10005	绿	368.9	cate_1	服饰	2024-12-28 00:00:00	2025-01-01
sku_10006	prod_1000	shop_001	电子产品_商品_10006	蓝	226.96	cate_2	电子产品	2024-12-24 00:00:00	2025-01-01
sku_10007	prod_1000	shop_001	电子产品_商品_10007	黑	298.49	cate_2	电子产品	2024-12-25 00:00:00	2025-01-01
sku_10008	prod_1000	shop_001	电子产品_商品_10008	绿	286.06	cate_2	电子产品	2024-12-29 00:00:00	2025-01-01
sku_10009	prod_1000	shop_001	电子产品_商品_10009	蓝	12.04	cate_2	电子产品	2024-12-29 00:00:00	2025-01-01
sku_10010	prod_1001	shop_001	电子产品_商品_10010	黑	120.07	cate_2	电子产品	2024-12-09 00:00:00	2025-01-01
sku_10011	prod_1001	shop_001	食品_商品_10011	蓝	66.6	cate_3	食品	2024-12-10 00:00:00	2025-01-01
sku_10012	prod_1001	shop_001	食品_商品_10012	红	290.73	cate_3	食品	2024-12-29 00:00:00	2025-01-01
sku_10013	prod_1001	shop_001	食品_商品_10013	红	86.94	cate_3	食品	2024-12-23 00:00:00	2025-01-01
sku_10014	prod_1001	shop_001	食品_商品_10014	蓝	425.31	cate_3	食品	2024-12-03 00:00:00	2025-01-01
sku_10015	prod_1001	shop_001	食品_商品_10015	黑	294.63	cate_3	食品	2024-12-12 00:00:00	2025-01-01
sku_10016	prod_1001	shop_001	家居_商品_10016	红	297.51	cate_4	家居	2024-12-12 00:00:00	2025-01-01
sku_10017	prod_1001	shop_001	家居_商品_10017	白	283.45	cate_4	家居	2024-12-19 00:00:00	2025-01-01
sku_10018	prod_1001	shop_001	家居_商品_10018	红	151.15	cate_4	家居	2024-12-09 00:00:00	2025-01-01
sku_10019	prod_1001	shop_001	家居_商品_10019	黑	104.94	cate_4	家居	2024-12-26 00:00:00	2025-01-01
sku_10020	prod_1002	shop_001	家居_商品_10020	红	115.14	cate_4	家居	2024-12-14 00:00:00	2025-01-01
sku_10021	prod_1002	shop_002	服饰_商品_10021	绿	77.37	cate_1	服饰	2024-12-27 00:00:00	2025-01-01
sku_10022	prod_1002	shop_002	服饰_商品_10022	蓝	437.56	cate_1	服饰	2024-12-18 00:00:00	2025-01-01
sku_10023	prod_1002	shop_002	服饰_商品_10023	黑	114.3	cate_1	服饰	2024-12-30 00:00:00	2025-01-01
sku_10024	prod_1002	shop_002	服饰_商品_10024	黑	444.71	cate_1	服饰	2024-12-12 00:00:00	2025-01-01
sku_10025	prod_1002	shop_002	服饰_商品_10025	绿	107.65	cate_1	服饰	2024-12-04 00:00:00	2025-01-01
sku_10026	prod_1002	shop_002	电子产品_商品_10026	红	50.54	cate_2	电子产品	2024-12-28 00:00:00	2025-01-01
sku_10027	prod_1002	shop_002	电子产品_商品_10027	红	255.49	cate_2	电子产品	2024-12-07 00:00:00	2025-01-01
sku_10028	prod_1002	shop_002	电子产品_商品_10028	黑	348.89	cate_2	电子产品	2024-12-13 00:00:00	2025-01-01
sku_10029	prod_1002	shop_002	电子产品_商品_10029	白	152.41	cate_2	电子产品	2024-12-19 00:00:00	2025-01-01
sku_10030	prod_1003	shop_002	电子产品_商品_10030	绿	298.25	cate_2	电子产品	2024-12-09 00:00:00	2025-01-01
sku_10031	prod_1003	shop_002	食品_商品_10031	白	144.82	cate_3	食品	2024-12-13 00:00:00	2025-01-01
sku_10032	prod_1003	shop_002	食品_商品_10032	黑	109.83	cate_3	食品	2024-12-12 00:00:00	2025-01-01
sku_10033	prod_1003	shop_002	食品_商品_10033	红	423.55	cate_3	食品	2024-12-24 00:00:00	2025-01-01
sku_10034	prod_1003	shop_002	食品_商品_10034	绿	94.84	cate_3	食品	2024-12-14 00:00:00	2025-01-01
sku_10035	prod_1003	shop_002	食品_商品_10035	蓝	475.08	cate_3	食品	2024-12-24 00:00:00	2025-01-01
sku_10036	prod_1003	shop_002	家居_商品_10036	绿	110.55	cate_4	家居	2024-12-26 00:00:00	2025-01-01
sku_10037	prod_1003	shop_002	家居_商品_10037	白	18.87	cate_4	家居	2024-12-11 00:00:00	2025-01-01
sku_10038	prod_1003	shop_002	家居_商品_10038	黑	107.29	cate_4	家居	2024-12-22 00:00:00	2025-01-01
sku_10039	prod_1003	shop_002	家居_商品_10039	绿	483.16	cate_4	家居	2024-12-17 00:00:00	2025-01-01
sku_10040	prod_1004	shop_002	家居_商品_10040	红	267.76	cate_4	家居	2024-12-24 00:00:00	2025-01-01
sku_10041	prod_1004	shop_003	服饰_商品_10041	黑	449.0	cate_1	服饰	2024-12-10 00:00:00	2025-01-01
sku_10042	prod_1004	shop_003	服饰_商品_10042	蓝	27.29	cate_1	服饰	2024-12-03 00:00:00	2025-01-01
sku_10043	prod_1004	shop_003	服饰_商品_10043	蓝	490.62	cate_1	服饰	2024-12-15 00:00:00	2025-01-01
sku_10044	prod_1004	shop_003	服饰_商品_10044	红	148.79	cate_1	服饰	2024-12-06 00:00:00	2025-01-01
sku_10045	prod_1004	shop_003	服饰_商品_10045	白	187.49	cate_1	服饰	2024-12-28 00:00:00	2025-01-01
sku_10046	prod_1004	shop_003	电子产品_商品_10046	绿	170.58	cate_2	电子产品	2024-12-20 00:00:00	2025-01-01
sku_10047	prod_1004	shop_003	电子产品_商品_10047	蓝	490.84	cate_2	电子产品	2024-12-09 00:00:00	2025-01-01
sku_10048	prod_1004	shop_003	电子产品_商品_10048	蓝	192.94	cate_2	电子产品	2024-12-14 00:00:00	2025-01-01
sku_10049	prod_1004	shop_003	电子产品_商品_10049	白	426.12	cate_2	电子产品	2024-12-29 00:00:00	2025-01-01
sku_10050	prod_1005	shop_003	电子产品_商品_10050	绿	246.36	cate_2	电子产品	2024-12-19 00:00:00	2025-01-01
sku_10051	prod_1005	shop_003	食品_商品_10051	蓝	69.83	cate_3	食品	2024-12-11 00:00:00	2025-01-01
sku_10052	prod_1005	shop_003	食品_商品_10052	绿	96.81	cate_3	食品	2024-12-04 00:00:00	2025-01-01
sku_10053	prod_1005	shop_003	食品_商品_10053	蓝	219.24	cate_3	食品	2024-12-17 00:00:00	2025-01-01
